letter,count
ė,1012758
ž,529596
ų,1075208
ą,606711
š,759327
į,406299
á,1540
í,478
č,290165
ū,387601
à,154
é,1466
è,513
ł,154
ę,128210
ó,613
Ž,12257
Č,4087
Ώ,4
ρ,41
α,35
τ,32
ω,8
ν,28
ψ,4
η,32
φ,11
ο,45
ι,36
ώ,7
έ,9
λ,14
ξ,5
ε,36
Į,5715
Š,42123
ã,86
ò,17
ö,1108
Κ,8
ύ,6
σ,42
δ,18
κ,10
π,18
ή,9
ς,19
υ,25
ό,8
Ε,7
ϊ,2
β,8
ί,22
γ,4
μ,18
ü,678
χ,9
ζ,5
ř,31
Ū,1338
ů,1
ä,416
Ψ,1
õ,2
Ö,39
ß,144
Å,15
ţ,13
ş,166
ø,117
Á,47
ç,132
_,36
ń,126
ý,33
а,5
ê,122
ć,161
â,47
¹,6
ň,67
ī,15
ś,28
ķ,33
ļ,1
Ţ,85
ă,223
ï,32
ā,4
ë,9
Ó,31
Α,15
Ι,6
Ν,3
ú,71
ē,14
ż,17
Ė,28
ñ,71
ź,9
î,6
ľ,13
Đ,12
Β,7
ő,146
ğ,53
ı,7
µ,1
²,7
Ő,18
Õ,1
Í,29
ť,4
Ķ,4
É,21
Ļ,1
Ā,1
å,2
Æ,1
¾,4
Ģ,6
û,6
ˇ,2
Ą,2
Ç,1
ŗ,1
ǎ,7
Ś,2
œ,3
Ľ,2
ě,6
Μ,1
ĳ,5
º,23
Ü,5
Ρ,1
Ř,2
Τ,5
Ο,5
Ł,3
ô,9
М,1
у,1
ĉ,1
ņ,4
ǐ,4
ù,1
æ,6
Π,2
đ,1
Т,1
舣,2
ŵ,1
ì,1
Ć,1
ď,1
Ş,10
Ð,1
ʻ,1
⅔,1
С,1
ș,1
Υ,3
ά,3
